"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9131","@Sanity Validate product order when soted by Name Z to A","Chrome","2026-02-07","failed","2026-02-07","Product Page Tests","","",""
"","8520","@SmokeTesting @Checkout Validate an error message for missing mandatory fields","Chrome","2026-02-07","passed","2026-02-07","@Checkout  Checkout Page Tests validation","","",""
"","2857","@Login Login to Sauce Demo application with credentials","Chrome","2026-02-07","passed","2026-02-07","","","",""
"","8491","@SmokeTesting @LogOut @Sanity Logout from application","Chrome","2026-02-07","passed","2026-02-07","Product Page Tests","","",""
"","15395","Successful login validation","Chrome","2026-02-07","passed","2026-02-07","Login and cart feature test","","",""
"","5325","@Smoke @OrderConfirmation Validate Order Confirmation Page Title , Confirmation Text , Back Home Button","Chrome","2026-02-07","failed","2026-02-07","@OrderReview Order Confirmation Page Tests validation","","",""
"","7535","@SmokeTesting @CartPage @Sanity Validate product title ,Continue , Remove , Url on cart page","Chrome","2026-02-07","passed","2026-02-07","@ CartPage Cart Page Tests","","",""
"","6801","@SmokeTesting @CartPag @Sanity Add product to cart and verify in cart page","Chrome","2026-02-07","passed","2026-02-07","@ CartPage Cart Page Tests","","",""
"","15730","Login and clicko on checkout form cart page","Chrome","2026-02-07","passed","2026-02-07","Login and cart feature test","","",""
"","6922","@Login-Negative-01 Login with invalid username","Chrome","2026-02-07","passed","2026-02-07","@Login Login Page Tests","","",""
"","15155","@SmokeTesting @Checkout Validate Cancel Button functionality","Chrome","2026-02-07","passed","2026-02-07","@Checkout  Checkout Page Tests validation","","",""
"","8765","@Smoke @OrderReview Validate cancel button navigated to product home page","Chrome","2026-02-07","passed","2026-02-07","@OrderReview  Order Review Page Tests validation","","",""
"","6694","@Login-Negative-02 Login with invalid password","Chrome","2026-02-07","passed","2026-02-07","@Login Login Page Tests","","",""
"","6356","@Login-Positive-06 Session persists across page refresh","Chrome","2026-02-07","passed","2026-02-07","@Login Login Page Tests","","",""
"","17813","@Smoke @OrderConfirmation Validate Back Home button navigated to product home page","Chrome","2026-02-07","passed","2026-02-07","@OrderReview Order Confirmation Page Tests validation","","",""
"","7541","@Sanity Validate product order when soted by price high to low","Chrome","2026-02-07","passed","2026-02-07","Product Page Tests","","",""
"","16526","@end-2-end Place an order for all product from prodcuct catalgo page","Chrome","2026-02-07","failed","2026-02-07","","","",""
"","8925","@SmokeTesting @Checkout Validate Continue Button functionality","Chrome","2026-02-07","passed","2026-02-07","@Checkout  Checkout Page Tests validation","","",""
"","7809","@Smoke @OrderReview Validate tax amount and total amount","Chrome","2026-02-07","passed","2026-02-07","@OrderReview  Order Review Page Tests validation","","",""
"","10330","@CartPag @Sanity Validate Remove product from cart","Chrome","2026-02-07","passed","2026-02-07","@ CartPage Cart Page Tests","","",""
"","16152","@end-2-end Place an order for sigle product from prodcuct catalgo page","Chrome","2026-02-07","failed","2026-02-07","","","",""
"","8403","@SmokeTesting @Login-Positive-01 Login with valid credentials (standard_user)","Chrome","2026-02-07","passed","2026-02-07","@Login Login Page Tests","","",""
"","6768","@Login-Negative-07 Verify error message is displayed for invalid credentials","Chrome","2026-02-07","passed","2026-02-07","@Login Login Page Tests","","",""
"","14772","@productpage @Sanity Navigate to About page from product page","Chrome","2026-02-07","passed","2026-02-07","Product Page Tests","","",""
"","9289","@Sanity @Checkout Validate Checkout Page Title , Continue , Cancel Button","Chrome","2026-02-07","passed","2026-02-07","@Checkout  Checkout Page Tests validation","","",""
"","5138","@Sanity Validate product order when soted by price Low to High","Chrome","2026-02-07","passed","2026-02-07","Product Page Tests","","",""
"","2172","@Login-Negative-03 Login with empty username field","Chrome","2026-02-07","passed","2026-02-07","@Login Login Page Tests","","",""
"","8850","@Smoke @OrderReview Validate Order Review Page Title , Finish , Cancel Button","Chrome","2026-02-07","passed","2026-02-07","@OrderReview  Order Review Page Tests validation","","",""
"","8914","@Sanity Validate product order when soted by Name A to Z","Chrome","2026-02-07","passed","2026-02-07","Product Page Tests","","",""
"","8712","@CartPag @Sanity Validate Continue shopping move to productpage","Chrome","2026-02-07","passed","2026-02-07","@ CartPage Cart Page Tests","","",""
"","8745","@Smoke @OrderReview Validate item subtotal amount","Chrome","2026-02-07","passed","2026-02-07","@OrderReview  Order Review Page Tests validation","","",""
